HOPE single.dic evaluation (current pipeline)
============================================
Total entries: 1331
Primary correction passes: 1331
Primary correction failures: 0
Primary pass rate: 100.00%
Expected target available as primary or suggestion: 1331
Expected target absent from all candidates: 0
Candidate coverage: 100.00%

BEFORE VS CURRENT
Previous primary passes: 651
Current primary passes: 1331
Net primary change: +680

PRIMARY PASSES BY ENGINE
manual_single: 1331

ALL RESULTS
L1: addew -> għaddew | actual: għaddew | PRIMARY | manual_single | choices: għaddew
L310: gibhomli -> ġibhomli | actual: ġibhomli | PRIMARY | manual_single | choices: ġibhomli
L311: gibhuli -> ġibhuli | actual: ġibhuli | PRIMARY | manual_single | choices: ġibhuli
L312: gibieli -> ġibhieli | actual: ġibhieli | PRIMARY | manual_single | choices: ġibhieli
L313: gibielu -> ġibhielu | actual: ġibhielu | PRIMARY | manual_single | choices: ġibhielu
L314: gibomli -> ġibhomli | actual: ġibhomli | PRIMARY | manual_single | choices: ġibhomli
L315: gibt -> ġibt | actual: ġibt | PRIMARY | manual_single | choices: ġibt
L316: gibtilkom -> ġibtilkom | actual: ġibtilkom | PRIMARY | manual_single | choices: ġibtilkom
L317: gibulha -> ġibhulha | actual: ġibhulha | PRIMARY | manual_single | choices: ġibhulha
L318: gid -> ġid | actual: ġid | PRIMARY | manual_single | choices: ġid
L319: gie -> ġie | actual: ġie | PRIMARY | manual_single | choices: ġie
L320: gieh -> ġieħ | actual: ġieħ | PRIMARY | manual_single | choices: ġieħ
L321: giet -> ġiet | actual: ġiet | PRIMARY | manual_single | choices: ġiet
L322: gietx -> ġietx | actual: ġietx | PRIMARY | manual_single | choices: ġietx
L323: gilda -> ġilda | actual: ġilda | PRIMARY | manual_single | choices: ġilda
L324: gimgha -> Ġimgħa | actual: Ġimgħa | PRIMARY | manual_single | choices: Ġimgħa
L325: gimghat -> Ġimgħat | actual: Ġimgħat | PRIMARY | manual_single | choices: Ġimgħat
L326: gismu -> ġismu | actual: ġismu | PRIMARY | manual_single | choices: ġismu
L327: gitni -> ġietni | actual: ġietni | PRIMARY | manual_single | choices: ġietni
L328: glieda -> ġlieda | actual: ġlieda | PRIMARY | manual_single | choices: ġlieda
L329: gnien -> ġnien | actual: ġnien | PRIMARY | manual_single | choices: ġnien
L330: go -> ġo | actual: ġo | PRIMARY | manual_single | choices: ġo
L331: gobon -> ġobon | actual: ġobon | PRIMARY | manual_single | choices: ġobon
L332: godda -> ġodda | actual: ġodda | PRIMARY | manual_single | choices: ġodda
L333: gravat -> ggravat | actual: ggravat | PRIMARY | manual_single | choices: ggravat
L334: gudizzju -> ġudizzju | actual: ġudizzju | PRIMARY | manual_single | choices: ġudizzju
L335: guh -> ġuħ | actual: ġuħ | PRIMARY | manual_single | choices: ġuħ
L336: gunju -> Ġunju | actual: Ġunju | PRIMARY | manual_single | choices: Ġunju
L337: gurnata -> ġurnata | actual: ġurnata | PRIMARY | manual_single | choices: ġurnata
L338: gustuz -> gustuż | actual: gustuż | PRIMARY | manual_single | choices: gustuż
L339: gustuza -> gustuża | actual: gustuża | PRIMARY | manual_single | choices: gustuża
L340: gustuzi -> gustużi | actual: gustużi | PRIMARY | manual_single | choices: gustużi
L341: gzejjer -> gżejjer | actual: gżejjer | PRIMARY | manual_single | choices: gżejjer
L342: gzira -> gżira | actual: gżira | PRIMARY | manual_single | choices: gżira
L343: gziriet -> gżiriet | actual: gżiriet | PRIMARY | manual_single | choices: gżiriet
L344: għajjejt -> għajejt | actual: għajejt | PRIMARY | manual_single | choices: għajejt
L345: għalaq -> agħlaq | actual: agħlaq | PRIMARY | manual_single | choices: agħlaq
L346: għalirx -> għaliex | actual: għaliex | PRIMARY | manual_single | choices: għaliex
L347: għalkrmm -> għalkemm | actual: għalkemm | PRIMARY | manual_single | choices: għalkemm
L348: għanel -> għamel | actual: għamel | PRIMARY | manual_single | choices: għamel
L349: għanna -> għandna | actual: għandna | PRIMARY | manual_single | choices: għandna
L350: għar -> agħar | actual: agħar | PRIMARY | manual_single | choices: agħar
L351: ha -> ħa | actual: ħa | PRIMARY | manual_single | choices: ħa
L352: habba -> ħabba | actual: ħabba | PRIMARY | manual_single | choices: ħabba
L353: habbar -> ħabbar | actual: ħabbar | PRIMARY | manual_single | choices: ħabbar
L354: habbret -> ħabbret | actual: ħabbret | PRIMARY | manual_single | choices: ħabbret
L355: habbru -> ħabbru | actual: ħabbru | PRIMARY | manual_single | choices: ħabbru
L356: habiba -> ħabiba | actual: ħabiba | PRIMARY | manual_single | choices: ħabiba
L357: hadd -> ħadd | actual: ħadd | PRIMARY | manual_single | choices: ħadd
L358: haddiehor -> ħaddieħor | actual: ħaddieħor | PRIMARY | manual_single | choices: ħaddieħor
L359: haddiema -> ħaddiema | actual: ħaddiema | PRIMARY | manual_single | choices: ħaddiema
L360: hadem -> ħadem | actual: ħadem | PRIMARY | manual_single | choices: ħadem
L361: hadet -> ħadet | actual: ħadet | PRIMARY | manual_single | choices: ħadet
L362: hadithieli -> ħadithieli | actual: ħadithieli | PRIMARY | manual_single | choices: ħadithieli
L363: hadmet -> ħadmet | actual: ħadmet | PRIMARY | manual_single | choices: ħadmet
L364: hadmitx -> ħadmitx | actual: ħadmitx | PRIMARY | manual_single | choices: ħadmitx
L365: hadna -> ħadna | actual: ħadna | PRIMARY | manual_single | choices: ħadna
L366: hadtha -> ħadtha | actual: ħadtha | PRIMARY | manual_single | choices: ħadtha
L367: hadtu -> ħadtu | actual: ħadtu | PRIMARY | manual_single | choices: ħadtu
L368: hafna -> ħafna | actual: ħafna | PRIMARY | manual_single | choices: ħafna
L369: haga -> ħaġa | actual: ħaġa | PRIMARY | manual_single | choices: ħaġa
L370: hajja -> ħajja | actual: ħajja | PRIMARY | manual_single | choices: ħajja
L371: hajjet -> ħajjet | actual: ħajjet | PRIMARY | manual_single | choices: ħajjet
L372: hajjitha -> ħajjitha | actual: ħajjitha | PRIMARY | manual_single | choices: ħajjitha
L373: hajjitna -> ħajjitna | actual: ħajjitna | PRIMARY | manual_single | choices: ħajjitna
L374: hajti -> ħajti | actual: ħajti | PRIMARY | manual_single | choices: ħajti
L375: hajtu -> ħajtu | actual: ħajtu | PRIMARY | manual_single | choices: ħajtu
L376: halejtilha -> ħallejtilha | actual: ħallejtilha | PRIMARY | manual_single | choices: ħallejtilha
L377: halib -> ħalib | actual: ħalib | PRIMARY | manual_single | choices: ħalib
L378: hallejtilom -> ħallejtilhom | actual: ħallejtilhom | PRIMARY | manual_single | choices: ħallejtilhom
L379: hallejtlu -> ħallejtlu | actual: ħallejtlu | PRIMARY | manual_single | choices: ħallejtlu
L380: hallew -> ħallew | actual: ħallew | PRIMARY | manual_single | choices: ħallew
L381: halliel -> ħalliel | actual: ħalliel | PRIMARY | manual_single | choices: ħalliel
L382: hallieli -> ħallieli | actual: ħallieli | PRIMARY | manual_single | choices: ħallieli
L383: halliet -> ħalliet | actual: ħalliet | PRIMARY | manual_single | choices: ħalliet
L384: hallietu -> ħallietu | actual: ħallietu | PRIMARY | manual_single | choices: ħallietu
L385: hallihieli -> ħallihieli | actual: ħallihieli | PRIMARY | manual_single | choices: ħallihieli
L386: hallihom -> ħallihom | actual: ħallihom | PRIMARY | manual_single | choices: ħallihom
L387: hallihomla -> ħallihomlha | actual: ħallihomlha | PRIMARY | manual_single | choices: ħallihomlha
L388: hallihomlhom -> ħallihomlhom | actual: ħallihomlhom | PRIMARY | manual_single | choices: ħallihomlhom
L389: hallihomli -> ħallihomli | actual: ħallihomli | PRIMARY | manual_single | choices: ħallihomli
L390: hallihuli -> ħallihuli | actual: ħallihuli | PRIMARY | manual_single | choices: ħallihuli
L391: hallini -> ħallini | actual: ħallini | PRIMARY | manual_single | choices: ħallini
L392: hallinix -> ħallinix | actual: ħallinix | PRIMARY | manual_single | choices: ħallinix
L393: hallithieli -> ħallithieli | actual: ħallithieli | PRIMARY | manual_single | choices: ħallithieli
L394: hallitni -> ħallietni | actual: ħallietni | PRIMARY | manual_single | choices: ħallietni
L395: hames -> ħames | actual: ħames | PRIMARY | manual_single | choices: ħames
L396: hamra -> ħamra | actual: ħamra | PRIMARY | manual_single | choices: ħamra
L397: hamsa -> ħamsa | actual: ħamsa | PRIMARY | manual_single | choices: ħamsa
L398: hamsin -> ħamsin | actual: ħamsin | PRIMARY | manual_single | choices: ħamsin
L399: hanut -> ħanut | actual: ħanut | PRIMARY | manual_single | choices: ħanut
L400: hanzir -> ħanżir | actual: ħanżir | PRIMARY | manual_single | choices: ħanżir
L401: haqqni -> ħaqqni | actual: ħaqqni | PRIMARY | manual_single | choices: ħaqqni
L402: haqqu -> ħaqqu | actual: ħaqqu | PRIMARY | manual_single | choices: ħaqqu
L403: hareg -> ħareġ | actual: ħareġ | PRIMARY | manual_single | choices: ħareġ
L404: hares -> ħares | actual: ħares | PRIMARY | manual_single | choices: ħares
L405: harget -> ħarġet | actual: ħarġet | PRIMARY | manual_single | choices: ħarġet
L406: hargu -> ħarġu | actual: ħarġu | PRIMARY | manual_single | choices: ħarġu
L407: haseb -> ħaseb | actual: ħaseb | PRIMARY | manual_single | choices: ħaseb
L408: hasra -> ħasra | actual: ħasra | PRIMARY | manual_single | choices: ħasra
L409: hass -> ħass | actual: ħass | PRIMARY | manual_single | choices: ħass
L410: hassar -> ħassar | actual: ħassar | PRIMARY | manual_single | choices: ħassar
L411: hassejtni -> ħassejtni | actual: ħassejtni | PRIMARY | manual_single | choices: ħassejtni
L412: hattom -> ħadthom | actual: ħadthom | PRIMARY | manual_single | choices: ħadthom
L413: hazin -> ħażin | actual: ħażin | PRIMARY | manual_single | choices: ħażin
L414: hazina -> ħażina | actual: ħażina | PRIMARY | manual_single | choices: ħażina
L415: hbieb -> ħbieb | actual: ħbieb | PRIMARY | manual_single | choices: ħbieb
L416: hbiebhom -> ħbiebhom | actual: ħbiebhom | PRIMARY | manual_single | choices: ħbiebhom
L417: hbiebna -> ħbiebna | actual: ħbiebna | PRIMARY | manual_single | choices: ħbiebna
L418: hbula -> ħbula | actual: ħbula | PRIMARY | manual_single | choices: ħbula
L419: hdax -> ħdax | actual: ħdax | PRIMARY | manual_single | choices: ħdax
L420: hdejh -> ħdejh | actual: ħdejh | PRIMARY | manual_single | choices: ħdejh
L421: hdejn -> ħdejn | actual: ħdejn | PRIMARY | manual_single | choices: ħdejn
L422: hdejna -> ħdejna | actual: ħdejna | PRIMARY | manual_single | choices: ħdejna
L423: hemmek -> hemmhekk | actual: hemmhekk | PRIMARY | manual_single | choices: hemmhekk
L424: hergin -> ħerġin | actual: ħerġin | PRIMARY | manual_single | choices: ħerġin
L425: hierga -> ħierġa | actual: ħierġa | PRIMARY | manual_single | choices: ħierġa
L426: hijja -> hija | actual: hija | PRIMARY | manual_single | choices: hija
L427: hin -> ħin | actual: ħin | PRIMARY | manual_single | choices: ħin
L428: hireg -> ħiereġ | actual: ħiereġ | PRIMARY | manual_single | choices: ħiereġ
L429: hlas -> ħlas | actual: ħlas | PRIMARY | manual_single | choices: ħlas
L430: hlief -> ħlief | actual: ħlief | PRIMARY | manual_single | choices: ħlief
L431: hmistax -> ħmistax | actual: ħmistax | PRIMARY | manual_single | choices: ħmistax
L432: hobz -> ħobż | actual: ħobż | PRIMARY | manual_single | choices: ħobż
L433: hofor -> ħofor | actual: ħofor | PRIMARY | manual_single | choices: ħofor
L434: holl -> ħoll | actual: ħoll | PRIMARY | manual_single | choices: ħoll
L435: homor -> ħomor | actual: ħomor | PRIMARY | manual_single | choices: ħomor
L436: hoss -> ħoss | actual: ħoss | PRIMARY | manual_single | choices: ħoss
L437: hrigna -> ħriġna | actual: ħriġna | PRIMARY | manual_single | choices: ħriġna
L438: hrigt -> ħriġt | actual: ħriġt | PRIMARY | manual_single | choices: ħriġt
L439: hsara -> ħsara | actual: ħsara | PRIMARY | manual_single | choices: ħsara
L440: hsibt -> ħsibt | actual: ħsibt | PRIMARY | manual_single | choices: ħsibt
L441: hsieb -> ħsieb | actual: ħsieb | PRIMARY | manual_single | choices: ħsieb
L442: hsiebha -> ħsiebha | actual: ħsiebha | PRIMARY | manual_single | choices: ħsiebha
L443: huk -> ħuk | actual: ħuk | PRIMARY | manual_single | choices: ħuk
L444: huta -> ħuta | actual: ħuta | PRIMARY | manual_single | choices: ħuta
L445: hutek -> ħutek | actual: ħutek | PRIMARY | manual_single | choices: ħutek
L446: huti -> ħuti | actual: ħuti | PRIMARY | manual_single | choices: ħuti
L447: hwienet -> ħwienet | actual: ħwienet | PRIMARY | manual_single | choices: ħwienet
L448: hwinet -> ħwienet | actual: ħwienet | PRIMARY | manual_single | choices: ħwienet
L449: ibathomli -> ibgħathomli | actual: ibgħathomli | PRIMARY | manual_single | choices: ibgħathomli
L450: ibghathomli -> ibgħathomli | actual: ibgħathomli | PRIMARY | manual_single | choices: ibgħathomli
L451: ibghathuli -> ibgħathuli | actual: ibgħathuli | PRIMARY | manual_single | choices: ibgħathuli
L452: ibghatieli -> ibgħathieli | actual: ibgħathieli | PRIMARY | manual_single | choices: ibgħathieli
L453: ibghatli -> ibgħatli | actual: ibgħatli | PRIMARY | manual_single | choices: ibgħatli
L454: ibghatuli -> ibgħathuli | actual: ibgħathuli | PRIMARY | manual_single | choices: ibgħathuli
L455: ibiddilhieli -> jibdilhieli | actual: jibdilhieli | PRIMARY | manual_single | choices: jibdilhieli
L456: iccaqlaq -> iċċaqlaq | actual: iċċaqlaq | PRIMARY | manual_single | choices: iċċaqlaq
L457: iccekja -> iċċekkja | actual: iċċekkja | PRIMARY | manual_single | choices: iċċekkja
L458: iccekkjajna -> iċċekkjajna | actual: iċċekkjajna | PRIMARY | manual_single | choices: iċċekkjajna
L459: iccempel -> ċċempel | actual: ċċempel | PRIMARY | manual_single | choices: ċċempel
L460: iccempilli -> iċċempilli | actual: iċċempilli | PRIMARY | manual_single | choices: iċċempilli
L461: icempel -> iċempel | actual: iċempel | PRIMARY | manual_single | choices: iċempel
L462: icempilli -> iċempilli | actual: iċempilli | PRIMARY | manual_single | choices: iċempilli
L463: icemplilha -> iċemplilha | actual: iċemplilha | PRIMARY | manual_single | choices: iċemplilha
L464: iddecidejna -> iddeċidejna | actual: iddeċidejna | PRIMARY | manual_single | choices: iddeċidejna
L465: iddecidejtx -> ddeċidejtx | actual: ddeċidejtx | PRIMARY | manual_single | choices: ddeċidejtx
L466: iddecidiet -> ddeċidiet | actual: ddeċidiet | PRIMARY | manual_single | choices: ddeċidiet
L467: iddur -> ddur | actual: ddur | PRIMARY | manual_single | choices: ddur
L468: idecidejt -> ddeċidejt | actual: ddeċidejt | PRIMARY | manual_single | choices: ddeċidejt
L469: idejat -> ideat | actual: ideat | PRIMARY | manual_single | choices: ideat
L470: identici -> identiċi | actual: identiċi | PRIMARY | manual_single | choices: identiċi
L471: iehor -> ieħor | actual: ieħor | PRIMARY | manual_single | choices: ieħor
L472: iffietah -> iffittah | actual: iffittah | PRIMARY | manual_single | choices: iffittah
L473: ifitex -> ifittex | actual: ifittex | PRIMARY | manual_single | choices: ifittex
L474: iftahhomli -> iftaħhomli | actual: iftaħhomli | PRIMARY | manual_single | choices: iftaħhomli
L475: iftahieli -> iftaħhieli | actual: iftaħhieli | PRIMARY | manual_single | choices: iftaħhieli
L476: iftahuli -> iftaħhuli | actual: iftaħhuli | PRIMARY | manual_single | choices: iftaħhuli
L477: iggib -> iġġib | actual: iġġib | PRIMARY | manual_single | choices: iġġib
L478: igibuhieli -> iġibuhieli | actual: iġibuhieli | PRIMARY | manual_single | choices: iġibuhieli
L479: igri -> iġri | actual: iġri | PRIMARY | manual_single | choices: iġri
L480: ihabbat -> jħabbat | actual: jħabbat | PRIMARY | manual_single | choices: jħabbat
L481: ihallu -> iħallu | actual: iħallu | PRIMARY | manual_single | choices: iħallu
L482: ihares -> iħares | actual: iħares | PRIMARY | manual_single | choices: iħares
L483: ihawdu -> jħawdu | actual: jħawdu | PRIMARY | manual_single | choices: jħawdu
L484: ijskom -> qiskom | actual: qiskom | PRIMARY | manual_single | choices: qiskom
L485: ijwa -> iwa | actual: iwa | PRIMARY | manual_single | choices: iwa
L486: ikollhom -> jkollhom | actual: jkollhom | PRIMARY | manual_single | choices: jkollhom
L487: ikun -> jkun | actual: jkun | PRIMARY | manual_single | choices: jkun
L488: ikunu -> jkunu | actual: jkunu | PRIMARY | manual_single | choices: jkunu
L489: ilbierah -> ilbieraħ | actual: ilbieraħ | PRIMARY | manual_single | choices: ilbieraħ
L490: ilbietaħ -> ilbieraħ | actual: ilbieraħ | PRIMARY | manual_single | choices: ilbieraħ
L491: ilbirah -> lbieraħ | actual: lbieraħ | PRIMARY | manual_single | choices: lbieraħ
L492: ilbirahtlula -> ilbiraħtlula | actual: ilbiraħtlula | PRIMARY | manual_single | choices: ilbiraħtlula
L493: ilhu -> ilu | actual: ilu | PRIMARY | manual_single | choices: ilu
L494: illahwa -> llaħwa | actual: llaħwa | PRIMARY | manual_single | choices: llaħwa
L495: illajs -> llajs | actual: llajs | PRIMARY | manual_single | choices: llajs
L496: illami -> llami | actual: llami | PRIMARY | manual_single | choices: llami
L497: ilni -> ili | actual: ili | PRIMARY | manual_single | choices: ili
L498: ilom -> ilhom | actual: ilhom | PRIMARY | manual_single | choices: ilhom
L499: iltaqet -> ltaqgħet | actual: ltaqgħet | PRIMARY | manual_single | choices: ltaqgħet
L500: iltaqghet -> ltaqgħet | actual: ltaqgħet | PRIMARY | manual_single | choices: ltaqgħet
L501: iltqajna -> ltqajna | actual: ltqajna | PRIMARY | manual_single | choices: ltqajna
L502: imbad -> mbagħad | actual: mbagħad | PRIMARY | manual_single | choices: mbagħad
L503: imkisra -> imkissra | actual: imkissra | PRIMARY | manual_single | choices: imkissra
L504: imkissr -> imkisser | actual: imkisser | PRIMARY | manual_single | choices: imkisser
L505: imlieli -> imlihieli | actual: imlihieli | PRIMARY | manual_single | choices: imlihieli
L506: imorru -> jmorru | actual: jmorru | PRIMARY | manual_single | choices: jmorru
L507: inbidlet -> nbidlet | actual: nbidlet | PRIMARY | manual_single | choices: nbidlet
L508: inbiegh -> inbiegħ | actual: inbiegħ | PRIMARY | manual_single | choices: inbiegħ
L509: inbieghu -> nbiegħu | actual: nbiegħu | PRIMARY | manual_single | choices: nbiegħu
L510: inbiegħu -> nbiegħu | actual: nbiegħu | PRIMARY | manual_single | choices: nbiegħu
L511: incempilha -> inċemplilha | actual: inċemplilha | PRIMARY | manual_single | choices: inċemplilha
L512: incident -> inċident | actual: inċident | PRIMARY | manual_single | choices: inċident
L513: induru -> nduru | actual: nduru | PRIMARY | manual_single | choices: nduru
L514: inehhu -> jneħħu | actual: jneħħu | PRIMARY | manual_single | choices: jneħħu
L515: infethu -> infetħu | actual: infetħu | PRIMARY | manual_single | choices: infetħu
L516: infitex -> infittex | actual: infittex | PRIMARY | manual_single | choices: infittex
L517: ingabar -> inġabar | actual: inġabar | PRIMARY | manual_single | choices: inġabar
L518: inghatat -> ingħatat | actual: ingħatat | PRIMARY | manual_single | choices: ingħatat
L519: inghataw -> ngħataw | actual: ngħataw | PRIMARY | manual_single | choices: ngħataw
L520: ingliż -> Ingliż | actual: Ingliż | PRIMARY | manual_single | choices: Ingliż
L521: inhabtu -> inħabbtu | actual: inħabbtu | PRIMARY | manual_single | choices: inħabbtu
L522: inhallasha -> inħallasha | actual: inħallasha | PRIMARY | manual_single | choices: inħallasha
L523: inhalliħ -> inħallih | actual: inħallih | PRIMARY | manual_single | choices: inħallih
L524: inharaq -> inħaraq | actual: inħaraq | PRIMARY | manual_single | choices: inħaraq
L525: inhares -> inħares | actual: inħares | PRIMARY | manual_single | choices: inħares
L526: inharqu -> inħarqu | actual: inħarqu | PRIMARY | manual_single | choices: inħarqu
L527: inhawadhom -> inħawwadhom | actual: inħawwadhom | PRIMARY | manual_single | choices: inħawwadhom
L528: inhawwad -> inħawwad | actual: inħawwad | PRIMARY | manual_single | choices: inħawwad
L529: inhejih -> inħejjih | actual: inħejjih | PRIMARY | manual_single | choices: inħejjih
L530: inkellima -> inkellimha | actual: inkellimha | PRIMARY | manual_single | choices: inkellimha
L531: inkunu -> nkunu | actual: nkunu | PRIMARY | manual_single | choices: nkunu
L532: innaddafa -> innaddafha | actual: innaddafha | PRIMARY | manual_single | choices: innaddafha
L533: inpoggiha -> inpoġġiha | actual: inpoġġiha | PRIMARY | manual_single | choices: inpoġġiha
L534: inqatghet -> nqatgħet | actual: nqatgħet | PRIMARY | manual_single | choices: nqatgħet
L535: insejt -> nsejt | actual: nsejt | PRIMARY | manual_single | choices: nsejt
L536: insejthu -> insejtu | actual: insejtu | PRIMARY | manual_single | choices: insejtu
L537: instemax -> nstemax | actual: nstemax | PRIMARY | manual_single | choices: nstemax
L538: insuqx -> nsuqx | actual: nsuqx | PRIMARY | manual_single | choices: nsuqx
L539: intbaghat -> intbagħat | actual: intbagħat | PRIMARY | manual_single | choices: intbagħat
L540: intefqu -> ntefqu | actual: ntefqu | PRIMARY | manual_single | choices: ntefqu
L541: inteligenti -> intelliġenti | actual: intelliġenti | PRIMARY | manual_single | choices: intelliġenti
L542: intilfu -> ntilfu | actual: ntilfu | PRIMARY | manual_single | choices: ntilfu
L543: inwieghed -> inwiegħed | actual: inwiegħed | PRIMARY | manual_single | choices: inwiegħed
L544: inzommu -> nżommu | actual: nżommu | PRIMARY | manual_single | choices: nżommu
L545: inzul -> inżul | actual: inżul | PRIMARY | manual_single | choices: inżul
L546: inżidu -> nżidu | actual: nżidu | PRIMARY | manual_single | choices: nżidu
L547: ippjanat -> ppjanat | actual: ppjanat | PRIMARY | manual_single | choices: ppjanat
L548: ippruvajt -> ppruvajt | actual: ppruvajt | PRIMARY | manual_single | choices: ppruvajt
L549: ircevejna -> rċevejna | actual: rċevejna | PRIMARY | manual_single | choices: rċevejna
L550: ircevejt -> rċevejt | actual: rċevejt | PRIMARY | manual_single | choices: rċevejt
L551: ircevew -> irċevew | actual: irċevew | PRIMARY | manual_single | choices: irċevew
L552: ircevewx -> rċevewx | actual: rċevewx | PRIMARY | manual_single | choices: rċevewx
L553: ircevit -> irċeviet | actual: irċeviet | PRIMARY | manual_single | choices: irċeviet
L554: ircewviet -> rċeviet | actual: rċeviet | PRIMARY | manual_single | choices: rċeviet
L555: irhas -> irħas | actual: irħas | PRIMARY | manual_single | choices: irħas
L556: irid -> jrid | actual: jrid | PRIMARY | manual_single | choices: jrid
L557: iridu -> jridu | actual: jridu | PRIMARY | manual_single | choices: jridu
L558: irrakomanda -> irrakkomanda | actual: irrakkomanda | PRIMARY | manual_single | choices: irrakkomanda
L559: irranga -> irranġa | actual: irranġa | PRIMARY | manual_single | choices: irranġa
L560: irrangahomli -> irranġahomli | actual: irranġahomli | PRIMARY | manual_single | choices: irranġahomli
L561: irrangahuli -> irranġahuli | actual: irranġahuli | PRIMARY | manual_single | choices: irranġahuli
L562: irrangajieli -> irranġahieli | actual: irranġahieli | PRIMARY | manual_single | choices: irranġahieli
L563: irrangajtu -> irranġajtu | actual: irranġajtu | PRIMARY | manual_single | choices: irranġajtu
L564: irrangathieli -> irranġathieli | actual: irranġathieli | PRIMARY | manual_single | choices: irranġathieli
L565: irridu -> rridu | actual: rridu | PRIMARY | manual_single | choices: rridu
L566: irrisponda -> rrisponda | actual: rrisponda | PRIMARY | manual_single | choices: rrisponda
L567: isma -> isma' | actual: isma' | PRIMARY | manual_single | choices: isma'
L568: issabat -> issabbat | actual: issabbat | PRIMARY | manual_single | choices: issabbat
L569: issib -> ssib | actual: ssib | PRIMARY | manual_single | choices: ssib
L570: issier -> issir | actual: issir | PRIMARY | manual_single | choices: issir
L571: issir -> ssir | actual: ssir | PRIMARY | manual_single | choices: ssir
L572: itfa -> itfa' | actual: itfa' | PRIMARY | manual_single | choices: itfa'
L573: itfaw -> itfgħu | actual: itfgħu | PRIMARY | manual_single | choices: itfgħu
L574: itijhom -> jtihom | actual: jtihom | PRIMARY | manual_single | choices: jtihom
L575: ittiehdet -> ttieħdet | actual: ttieħdet | PRIMARY | manual_single | choices: ttieħdet
L576: ittimbrata -> ttimbrata | actual: ttimbrata | PRIMARY | manual_single | choices: ttimbrata
L577: iwerzaq -> iwerżaq | actual: iwerżaq | PRIMARY | manual_single | choices: iwerżaq
L578: ixxi -> ixtri | actual: ixtri | PRIMARY | manual_single | choices: ixtri
L579: ixxu -> ixtru | actual: ixtru | PRIMARY | manual_single | choices: ixtru
L580: izar -> iżgħar | actual: iżgħar | PRIMARY | manual_single | choices: iżgħar
L581: izda -> iżda | actual: iżda | PRIMARY | manual_single | choices: iżda
L582: izghar -> iżgħar | actual: iżgħar | PRIMARY | manual_single | choices: iżgħar
L583: izjed -> iżjed | actual: iżjed | PRIMARY | manual_single | choices: iżjed
L584: izommhieli -> iżommhieli | actual: iżommhieli | PRIMARY | manual_single | choices: iżommhieli
L585: izzewgu -> żżewġu | actual: żżewġu | PRIMARY | manual_single | choices: żżewġu
L586: izzomm -> iżżomm | actual: iżżomm | PRIMARY | manual_single | choices: iżżomm
L587: jaccetta -> jaċċetta | actual: jaċċetta | PRIMARY | manual_single | choices: jaċċetta
L588: jaccettawhom -> jaċċettawhom | actual: jaċċettawhom | PRIMARY | manual_single | choices: jaċċettawhom
L589: jafniex -> jafnix | actual: jafnix | PRIMARY | manual_single | choices: jafnix
L590: jafuwha -> jafuha | actual: jafuha | PRIMARY | manual_single | choices: jafuha
L591: jaghlaq -> jagħlaq | actual: jagħlaq | PRIMARY | manual_single | choices: jagħlaq
L592: jaghmel -> jagħmel | actual: jagħmel | PRIMARY | manual_single | choices: jagħmel
L593: jaghmilha -> jagħmilha | actual: jagħmilha | PRIMARY | manual_single | choices: jagħmilha
L594: jaghmiluli -> jagħmilhuli | actual: jagħmilhuli | PRIMARY | manual_single | choices: jagħmilhuli
L595: jaghmlu -> jagħmlu | actual: jagħmlu | PRIMARY | manual_single | choices: jagħmlu
L596: jaghti -> jagħti | actual: jagħti | PRIMARY | manual_single | choices: jagħti
L597: jaghtiha -> jagħtiha | actual: jagħtiha | PRIMARY | manual_single | choices: jagħtiha
L598: jaghtijieli -> jagħtihieli | actual: jagħtihieli | PRIMARY | manual_single | choices: jagħtihieli
L599: jaghtuhielek -> jagħtuhielek | actual: jagħtuhielek | PRIMARY | manual_single | choices: jagħtuhielek
L600: jaghtuhielna -> jagħtuhielna | actual: jagħtuhielna | PRIMARY | manual_single | choices: jagħtuhielna
L601: jaghtuni -> jagħtuni | actual: jagħtuni | PRIMARY | manual_single | choices: jagħtuni
L602: jaghzel -> jagħżel | actual: jagħżel | PRIMARY | manual_single | choices: jagħżel
L603: jahdem -> jaħdem | actual: jaħdem | PRIMARY | manual_single | choices: jaħdem
L604: jahdmu -> jaħdmu | actual: jaħdmu | PRIMARY | manual_single | choices: jaħdmu
L605: jahdmux -> jaħdmux | actual: jaħdmux | PRIMARY | manual_single | choices: jaħdmux
L606: jajdilna -> jgħidilna | actual: jgħidilna | PRIMARY | manual_single | choices: jgħidilna
L607: jajdula -> jgħidulha | actual: jgħidulha | PRIMARY | manual_single | choices: jgħidulha
L608: jajdulek -> jgħidulek | actual: jgħidulek | PRIMARY | manual_single | choices: jgħidulek
L609: jalaq -> jagħlaq | actual: jagħlaq | PRIMARY | manual_single | choices: jagħlaq
L610: jalqu -> jagħlqu | actual: jagħlqu | PRIMARY | manual_single | choices: jagħlqu
L611: jaqawlekx -> jaqgħulekx | actual: jaqgħulekx | PRIMARY | manual_single | choices: jaqgħulekx
L612: jaqbez -> jaqbeż | actual: jaqbeż | PRIMARY | manual_single | choices: jaqbeż
L613: jaqraħħa -> jaqraha | actual: jaqraha | PRIMARY | manual_single | choices: jaqraha
L614: jaqtghuha -> jaqtgħuha | actual: jaqtgħuha | PRIMARY | manual_single | choices: jaqtgħuha
